id,title,difficulty,section,tags,status,last_reviewed
371,Sum of Two Integers,Medium,Bit Manipulation,math|bit-manipulation,todo,
416,Partition Equal Subset Sum,Medium,1-D Dynamic Programming,array|dynamic-programming,todo,
417,Pacific Atlantic Water Flow,Medium,Graphs,array|depth-first-search|breadth-first-search|matrix,todo,
424,Longest Repeating Character Replacement,Medium,Sliding Window,hash-table|string|sliding-window,todo,
435,Non-overlapping Intervals,Medium,Intervals,array|dynamic-programming|greedy|sorting,todo,
494,Target Sum,Medium,2-D Dynamic Programming,array|dynamic-programming|backtracking,todo,
518,Coin Change II,Medium,2-D Dynamic Programming,array|dynamic-programming,todo,
543,Diameter of Binary Tree,Easy,Trees,tree|depth-first-search|binary-tree,todo,
567,Permutation in String,Medium,Sliding Window,hash-table|two-pointers|string|sliding-window,todo,
572,Subtree of Another Tree,Easy,Trees,tree|depth-first-search|string-matching|binary-tree|hash-function,todo,
621,Task Scheduler,Medium,Heap / Priority Queue,array|hash-table|greedy|sorting|heap-priority-queue|counting,todo,
647,Palindromic Substrings,Medium,1-D Dynamic Programming,two-pointers|string|dynamic-programming,todo,
678,Valid Parenthesis String,Medium,Greedy,string|dynamic-programming|stack|greedy,todo,
684,Redundant Connection,Medium,Graphs,depth-first-search|breadth-first-search|union-find|graph,todo,
695,Max Area of Island,Medium,Graphs,array|depth-first-search|breadth-first-search|union-find|matrix,todo,
703,Kth Largest Element in a Stream,Easy,Heap / Priority Queue,tree|design|binary-search-tree|heap-priority-queue|binary-tree|data-stream,todo,
704,Binary Search,Easy,Binary Search,array|binary-search,todo,
739,Daily Temperatures,Medium,Stack,array|stack|monotonic-stack,todo,
743,Network Delay Time,Medium,Advanced Graphs,depth-first-search|breadth-first-search|graph|heap-priority-queue|shortest-path,todo,
746,Min Cost Climbing Stairs,Easy,1-D Dynamic Programming,array|dynamic-programming,todo,
763,Partition Labels,Medium,Greedy,hash-table|two-pointers|string|greedy,todo,
778,Swim in Rising Water,Hard,Advanced Graphs,array|binary-search|depth-first-search|breadth-first-search|union-find|heap-priority-queue|matrix,todo,
787,Cheapest Flights Within K Stops,Medium,Advanced Graphs,dynamic-programming|depth-first-search|breadth-first-search|graph|heap-priority-queue|shortest-path,todo,
846,Hand of Straights,Medium,Greedy,array|hash-table|greedy|sorting,todo,
853,Car Fleet,Medium,Stack,array|stack|sorting|monotonic-stack,todo,
875,Koko Eating Bananas,Medium,Binary Search,array|binary-search,todo,
973,K Closest Points to Origin,Medium,Heap / Priority Queue,array|math|divide-and-conquer|geometry|sorting|heap-priority-queue|quickselect,todo,
981,Time Based Key-Value Store,Medium,Binary Search,hash-table|string|binary-search|design,todo,
994,Rotting Oranges,Medium,Graphs,array|breadth-first-search|matrix,todo,
1046,Last Stone Weight,Easy,Heap / Priority Queue,array|heap-priority-queue,todo,
1143,Longest Common Subsequence,Medium,2-D Dynamic Programming,string|dynamic-programming,todo,
1448,Count Good Nodes in Binary Tree,Medium,Trees,tree|depth-first-search|breadth-first-search|binary-tree,todo,
1584,Min Cost to Connect All Points,Medium,Advanced Graphs,array|union-find|graph|minimum-spanning-tree,todo,
1851,Minimum Interval to Include Each Query,Hard,Intervals,array|binary-search|line-sweep|sorting|heap-priority-queue,todo,
1899,Merge Triplets to Form Target Triplet,Medium,Greedy,array|greedy,todo,
2013,Detect Squares,Medium,Math & Geometry,array|hash-table|design|counting|data-stream,todo,
